Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	1.00087019592665e-001,1.25945162532796e-001	1.79982596081467e-002,-2.51890325065592e-003
1.09909909909910e+005	1.03742410341671e-001,1.37910074690417e-001	1.79251517931666e-002,-2.75820149380835e-003
1.19819819819820e+005	1.07715162609936e-001,1.49733043573374e-001	1.78456967478013e-002,-2.99466087146749e-003
1.29729729729730e+005	1.11998120633552e-001,1.61403123382391e-001	1.77600375873290e-002,-3.22806246764783e-003
1.39639639639640e+005	1.16583657313803e-001,1.72909813143042e-001	1.76683268537239e-002,-3.45819626286085e-003
1.49549549549550e+005	1.21463706870486e-001,1.84243080314404e-001	1.75707258625903e-002,-3.68486160628808e-003
1.59459459459459e+005	1.26629798721111e-001,1.95393381637221e-001	1.74674040255778e-002,-3.90786763274442e-003
1.69369369369369e+005	1.32073092330207e-001,2.06351681182328e-001	1.73585381533959e-002,-4.12703362364657e-003
1.79279279279279e+005	1.37784412776644e-001,2.17109465579947e-001	1.72443117444671e-002,-4.34218931159894e-003
1.89189189189189e+005	1.43754286791163e-001,2.27658756431563e-001	1.71249142641767e-002,-4.55317512863126e-003
1.99099099099099e+005	1.49972979022140e-001,2.37992119927554e-001	1.70005404195572e-002,-4.75984239855108e-003
2.09009009009009e+005	1.56430528295513e-001,2.48102673714764e-001	1.68713894340897e-002,-4.96205347429527e-003
2.18918918918919e+005	1.63116783644641e-001,2.57984091078325e-001	1.67376643271072e-002,-5.15968182156650e-003
2.28828828828829e+005	1.70021439897680e-001,2.67630602520767e-001	1.65995712020464e-002,-5.35261205041533e-003
2.38738738738739e+005	1.77134072623450e-001,2.77036994838507e-001	1.64573185475310e-002,-5.54073989677015e-003
2.48648648648649e+005	1.84444172251577e-001,2.86198607811076e-001	1.63111165549685e-002,-5.72397215622153e-003
2.58558558558559e+005	1.91941177198635e-001,2.95111328631649e-001	1.61611764560273e-002,-5.90222657263298e-003
2.68468468468468e+005	1.99614505848721e-001,3.03771584218684e-001	1.60077098830256e-002,-6.07543168437368e-003
2.78378378378378e+005	2.07453587254249e-001,3.12176331557584e-001	1.58509282549150e-002,-6.24352663115169e-003
2.88288288288288e+005	2.15447890440300e-001,3.20323046228353e-001	1.56910421911940e-002,-6.40646092456706e-003
2.98198198198198e+005	2.23586952213549e-001,3.28209709280298e-001	1.55282609557290e-002,-6.56419418560596e-003
3.08108108108108e+005	2.31860403394263e-001,3.35834792617941e-001	1.53627919321147e-002,-6.71669585235883e-003
3.18018018018018e+005	2.40257993406947e-001,3.43197243063607e-001	1.51948401318611e-002,-6.86394486127214e-003
3.27927927927928e+005	2.48769613181763e-001,3.50296465261738e-001	1.50246077363647e-002,-7.00592930523475e-003
3.37837837837838e+005	2.57385316334668e-001,3.57132303588020e-001	1.48522936733066e-002,-7.14264607176041e-003
3.47747747747748e+005	2.66095338609164e-001,3.63705023223008e-001	1.46780932278167e-002,-7.27410046446015e-003
3.57657657657657e+005	2.74890115576605e-001,3.70015290545247e-001	1.45021976884679e-002,-7.40030581090495e-003
3.67567567567567e+005	2.83760298604895e-001,3.76064152993185e-001	1.43247940279021e-002,-7.52128305986370e-003
3.77477477477477e+005	2.92696769117363e-001,3.81853018538391e-001	1.41460646176527e-002,-7.63706037076782e-003
3.87387387387387e+005	3.01690651174213e-001,3.87383634905174e-001	1.39661869765157e-002,-7.74767269810348e-003
3.97297297297297e+005	3.10733322418577e-001,3.92658068663549e-001	1.37853335516285e-002,-7.85316137327097e-003
4.07207207207207e+005	3.19816423437496e-001,3.97678684313907e-001	1.36036715312501e-002,-7.95357368627814e-003
4.17117117117117e+005	3.28931865595445e-001,4.02448123472839e-001	1.34213626880911e-002,-8.04896246945679e-003
4.27027027027027e+005	3.38071837404040e-001,4.06969284260404e-001	1.32385632519192e-002,-8.13938568520808e-003
4.36936936936936e+005	3.47228809496632e-001,4.11245300979916e-001	1.30554238100674e-002,-8.22490601959833e-003
4.46846846846846e+005	3.56395538280410e-001,4.15279524172138e-001	1.28720892343918e-002,-8.30559048344276e-003
4.56756756756756e+005	3.65565068341666e-001,4.19075501116651e-001	1.26886986331667e-002,-8.38151002233302e-003
4.66666666666666e+005	3.74730733681938e-001,4.22636956844320e-001	1.25053853263612e-002,-8.45273913688641e-003
4.76576576576576e+005	3.83886157863979e-001,4.25967775716142e-001	1.23222768427204e-002,-8.51935551432285e-003
4.86486486486486e+005	3.93025253146979e-001,4.29071983615500e-001	1.21394949370604e-002,-8.58143967231000e-003
4.96396396396396e+005	4.02142218690252e-001,4.31953730792961e-001	1.19571556261950e-002,-8.63907461585922e-003
5.06306306306306e+005	4.11231537903707e-001,4.34617275395292e-001	1.17753692419259e-002,-8.69234550790584e-003
5.16216216216216e+005	4.20287975022092e-001,4.37066967703355e-001	1.15942404995582e-002,-8.74133935406709e-003
5.26126126126125e+005	4.29306570978074e-001,4.39307235097033e-001	1.14138685804385e-002,-8.78614470194066e-003
5.36036036036035e+005	4.38282638646967e-001,4.41342567759280e-001	1.12343472270607e-002,-8.82685135518561e-003
5.45945945945945e+005	4.47211757533305e-001,4.43177505125856e-001	1.10557648493339e-002,-8.86355010251713e-003
5.55855855855855e+005	4.56089767966542e-001,4.44816623082252e-001	1.08782046406692e-002,-8.89633246164504e-003
5.65765765765765e+005	4.64912764870068e-001,4.46264521904758e-001	1.07017447025986e-002,-8.92529043809515e-003
5.75675675675675e+005	4.73677091164423e-001,4.47525814938531e-001	1.05264581767115e-002,-8.95051629877061e-003
5.85585585585585e+005	4.82379330862197e-001,4.48605118001904e-001	1.03524133827561e-002,-8.97210236003809e-003
5.95495495495495e+005	4.91016301908628e-001,4.49507039502990e-001	1.01796739618274e-002,-8.99014079005981e-003
6.05405405405405e+005	4.99585048818399e-001,4.50236171251877e-001	1.00082990236320e-002,-9.00472342503754e-003
6.15315315315315e+005	5.08082835155599e-001,4.50797079949349e-001	9.83834329688802e-003,-9.01594159898698e-003
