Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.54775936603710e-002,1.43918156323847e-001	1.90904481267926e-002,-2.87836312647694e-003
1.09909909909910e+005	4.99084537870603e-002,1.57505980828309e-001	1.90018309242588e-002,-3.15011961656618e-003
1.19819819819820e+005	5.47186064970592e-002,1.70909310486800e-001	1.89056278700588e-002,-3.41818620973599e-003
1.29729729729730e+005	5.98980679798370e-002,1.84114304464502e-001	1.88020386404033e-002,-3.68228608929004e-003
1.39639639639640e+005	6.54362294620809e-002,1.97107787209842e-001	1.86912754107584e-002,-3.94215574419684e-003
1.49549549549550e+005	7.13219093536183e-002,2.09877280047813e-001	1.85735618129276e-002,-4.19754560095625e-003
1.59459459459459e+005	7.75434068840937e-002,2.22411028267442e-001	1.84491318623181e-002,-4.44822056534884e-003
1.69369369369369e+005	8.40885568285662e-002,2.34698023623190e-001	1.83182288634287e-002,-4.69396047246381e-003
1.79279279279279e+005	9.09447849043576e-002,2.46728022229786e-001	1.81811043019128e-002,-4.93456044459573e-003
1.89189189189189e+005	9.80991634218320e-002,2.58491557882738e-001	1.80380167315634e-002,-5.16983115765475e-003
1.99099099099099e+005	1.05538466782291e-001,2.69979950883817e-001	1.78892306643542e-002,-5.39959901767634e-003
2.09009009009009e+005	1.13249226433655e-001,2.81185312492920e-001	1.77350154713269e-002,-5.62370624985840e-003
2.18918918918919e+005	1.21217784917264e-001,2.92100545165056e-001	1.75756443016547e-002,-5.84201090330111e-003
2.28828828828829e+005	1.29430348665636e-001,3.02719338763993e-001	1.74113930266873e-002,-6.05438677527986e-003
2.38738738738739e+005	1.37873039240564e-001,3.13036162972220e-001	1.72425392151887e-002,-6.26072325944440e-003
2.48648648648649e+005	1.46531942732492e-001,3.23046256140422e-001	1.70693611453502e-002,-6.46092512280844e-003
2.58558558558559e+005	1.55393157075179e-001,3.32745610838706e-001	1.68921368584964e-002,-6.65491221677413e-003
2.68468468468468e+005	1.64442837063492e-001,3.42130956386337e-001	1.67111432587302e-002,-6.84261912772673e-003
2.78378378378378e+005	1.73667236896166e-001,3.51199738647034e-001	1.65266552620767e-002,-7.02399477294069e-003
2.88288288288288e+005	1.83052750099080e-001,3.59950097383059e-001	1.63389449980184e-002,-7.19900194766118e-003
2.98198198198198e+005	1.92585946717502e-001,3.68380841463625e-001	1.61482810656500e-002,-7.36761682927251e-003
3.08108108108108e+005	2.02253607697426e-001,3.76491422221993e-001	1.59549278460515e-002,-7.52982844443985e-003
