Freq.	V(1|1|1|b)	I(R129)
1.00000000000000e+005	4.56982313768874e-002,1.42074563601231e-001	1.90860353724623e-002,-2.84149127202462e-003
1.09909909909910e+005	5.00212433914646e-002,1.55506119962514e-001	1.89995751321707e-002,-3.11012239925029e-003
1.19819819819820e+005	5.47154448726616e-002,1.68760156717253e-001	1.89056911025468e-002,-3.37520313434505e-003
1.29729729729730e+005	5.97713628945411e-002,1.81823280719597e-001	1.88045727421092e-002,-3.63646561439194e-003
1.39639639639640e+005	6.51789256929837e-002,1.94682720730504e-001	1.86964214861403e-002,-3.89365441461008e-003
1.49549549549550e+005	7.09275106254522e-002,2.07326357872426e-001	1.85814497874910e-002,-4.14652715744851e-003
1.59459459459459e+005	7.70059936754228e-002,2.19742751889455e-001	1.84598801264915e-002,-4.39485503778911e-003
1.69369369369369e+005	8.34028000969243e-002,2.31921163159304e-001	1.83319439980615e-002,-4.63842326318608e-003
1.79279279279279e+005	9.01059557983966e-002,2.43851570446477e-001	1.81978808840321e-002,-4.87703140892955e-003
1.89189189189189e+005	9.71031390739866e-002,2.55524684427099e-001	1.80579372185203e-002,-5.11049368854197e-003
1.99099099099099e+005	1.04381732303853e-001,2.66931957054467e-001	1.79123653539229e-002,-5.33863914108933e-003
2.09009009009009e+005	1.11928873262484e-001,2.78065586870259e-001	1.77614225347503e-002,-5.56131173740518e-003
2.18918918918919e+005	1.19731505694901e-001,2.88918520398959e-001	1.76053698861020e-002,-5.77837040797917e-003
2.28828828828829e+005	1.27776428844437e-001,2.99484449792274e-001	1.74444714231113e-002,-5.98968899584549e-003
2.38738738738739e+005	1.36050345641908e-001,3.09757806915885e-001	1.72789930871618e-002,-6.19515613831769e-003
2.48648648648649e+005	1.44539909293990e-001,3.19733754092590e-001	1.71092018141202e-002,-6.39467508185180e-003
2.58558558558559e+005	1.53231768037881e-001,3.29408171733890e-001	1.69353646392424e-002,-6.58816343467779e-003
2.68468468468468e+005	1.62112607859386e-001,3.38777643106087e-001	1.67577478428123e-002,-6.77555286212175e-003
2.78378378378378e+005	1.71169193001884e-001,3.47839436487397e-001	1.65766161399623e-002,-6.95678872974794e-003
2.88288288288288e+005	1.80388404123843e-001,3.56591484979247e-001	1.63922319175231e-002,-7.13182969958494e-003
2.98198198198198e+005	1.89757273992171e-001,3.65032364238322e-001	1.62048545201566e-002,-7.30064728476643e-003
3.08108108108108e+005	1.99263020627357e-001,3.73161268396005e-001	1.60147395874529e-002,-7.46322536792010e-003
3.18018018018018e+005	2.08893077843831e-001,3.80977984429084e-001	1.58221384431234e-002,-7.61955968858167e-003
3.27927927927928e+005	2.18635123154884e-001,3.88482865240137e-001	1.56272975369023e-002,-7.76965730480274e-003
3.37837837837838e+005	2.28477103035695e-001,3.95676801698246e-001	1.54304579392861e-002,-7.91353603396492e-003
3.47747747747748e+005	2.38407255560312e-001,4.02561193880834e-001	1.52318548887938e-002,-8.05122387761669e-003
3.57657657657657e+005	2.48414130448733e-001,4.09137921745929e-001	1.50317173910253e-002,-8.18275843491859e-003
3.67567567567567e+005	2.58486606578403e-001,4.15409315451171e-001	1.48302678684319e-002,-8.30818630902342e-003
3.77477477477477e+005	2.68613907030518e-001,4.21378125521865e-001	1.46277218593896e-002,-8.42756251043731e-003
3.87387387387387e+005	2.78785611755451e-001,4.27047493055484e-001	1.44242877648910e-002,-8.54094986110968e-003
3.97297297297297e+005	2.88991667953439e-001,4.32420920134594e-001	1.42201666409312e-002,-8.64841840269188e-003
4.07207207207207e+005	2.99222398276497e-001,4.37502240604462e-001	1.40155520344701e-002,-8.75004481208924e-003
4.17117117117117e+005	3.09468506965331e-001,4.42295591355749e-001	1.38106298606934e-002,-8.84591182711497e-003
4.27027027027027e+005	3.19721084041078e-001,4.46805384237014e-001	1.36055783191784e-002,-8.93610768474029e-003
4.36936936936936e+005	3.29971607675946e-001,4.51036278706345e-001	1.34005678464811e-002,-9.02072557412689e-003
4.46846846846846e+005	3.40211944869539e-001,4.54993155316433e-001	1.31957611026092e-002,-9.09986310632867e-003
4.56756756756756e+005	3.50434350558889e-001,4.58681090113089e-001	1.29913129888222e-002,-9.17362180226178e-003
4.66666666666666e+005	3.60631465290136e-001,4.62105330013393e-001	1.27873706941973e-002,-9.24210660026786e-003
4.76576576576576e+005	3.70796311578589e-001,4.65271269216810e-001	1.25840737684282e-002,-9.30542538433620e-003
4.86486486486486e+005	3.80922289081590e-001,4.68184426690411e-001	1.23815542183682e-002,-9.36368853380821e-003
4.96396396396396e+005	3.91003168705540e-001,4.70850424758104e-001	1.21799366258892e-002,-9.41700849516207e-003
5.06306306306306e+005	4.01033085764474e-001,4.73274968813408e-001	1.19793382847105e-002,-9.46549937626815e-003
5.16216216216216e+005	4.11006532303136e-001,4.75463828165828e-001	1.17798693539373e-002,-9.50927656331656e-003
5.26126126126125e+005	4.20918348692445e-001,4.77422818022334e-001	1.15816330261511e-002,-9.54845636044668e-003
5.36036036036035e+005	4.30763714599874e-001,4.79157782597756e-001	1.13847257080025e-002,-9.58315565195512e-003
5.45945945945945e+005	4.40538139431575e-001,4.80674579341108e-001	1.11892372113685e-002,-9.61349158682217e-003
5.55855855855855e+005	4.50237452337169e-001,4.81979064258864e-001	1.09952509532566e-002,-9.63958128517728e-003
5.65765765765765e+005	4.59857791862203e-001,4.83077078311026e-001	1.08028441627559e-002,-9.66154156622051e-003
5.75675675675675e+005	4.69395595327155e-001,4.83974434851395e-001	1.06120880934569e-002,-9.67948869702790e-003
5.85585585585585e+005	4.78847588005948e-001,4.84676908079733e-001	1.04230482398810e-002,-9.69353816159467e-003
5.95495495495495e+005	4.88210772170943e-001,4.85190222470425e-001	1.02357845565811e-002,-9.70380444940849e-003
6.05405405405405e+005	4.97482416065669e-001,4.85520043139800e-001	1.00503516786866e-002,-9.71040086279600e-003
6.15315315315315e+005	5.06660042860841e-001,4.85671967112383e-001	9.86679914278318e-003,-9.71343934224767e-003
6.25225225225225e+005	5.15741419643880e-001,4.85651515444917e-001	9.68517160712241e-003,-9.71303030889834e-003
6.35135135135135e+005	5.24724546486896e-001,4.85464126166093e-001	9.50550907026209e-003,-9.70928252332186e-003
6.45045045045045e+005	5.33607645633204e-001,4.85115147989388e-001	9.32784708733592e-003,-9.70230295978776e-003
6.54954954954955e+005	5.42389150837716e-001,4.84609834756236e-001	9.15221698324567e-003,-9.69219669512472e-003
