Freq.	V(1|1|1|a)	I(R129)
1.00000000000000e+005	1.68981669319726e-002,7.77421849538047e-002	1.96620366613606e-002,-1.55484369907609e-003
1.09909909909910e+005	1.81783617878516e-002,8.53608015800210e-002	1.96364327642430e-002,-1.70721603160042e-003
1.19819819819820e+005	1.95773980069277e-002,9.29553151412475e-002	1.96084520398614e-002,-1.85910630282495e-003
1.29729729729730e+005	2.10947300564540e-002,1.00523612416574e-001	1.95781053988709e-002,-2.01047224833148e-003
1.39639639639640e+005	2.27297674883793e-002,1.08063595498438e-001	1.95454046502324e-002,-2.16127190996875e-003
1.49549549549550e+005	2.44818754622954e-002,1.15573182970169e-001	1.95103624907541e-002,-2.31146365940338e-003
1.59459459459459e+005	2.63503753057837e-002,1.23050311062917e-001	1.94729924938843e-002,-2.46100622125834e-003
1.69369369369369e+005	2.83345451112505e-002,1.30492934790590e-001	1.94333090977750e-002,-2.60985869581180e-003
1.79279279279279e+005	3.04336203682810e-002,1.37899029061501e-001	1.93913275926344e-002,-2.75798058123002e-003
1.89189189189189e+005	3.26467946304965e-002,1.45266589765451e-001	1.93470641073901e-002,-2.90533179530903e-003
1.99099099099099e+005	3.49732202158430e-002,1.52593634835031e-001	1.93005355956831e-002,-3.05187269670061e-003
2.09009009009009e+005	3.74120089391987e-002,1.59878205279976e-001	1.92517598212160e-002,-3.19756410559952e-003
2.18918918918919e+005	3.99622328761388e-002,1.67118366193473e-001	1.92007553424772e-002,-3.34236732386947e-003
2.28828828828829e+005	4.26229251566598e-002,1.74312207729350e-001	1.91475414968668e-002,-3.48624415458700e-003
2.38738738738739e+005	4.53930807876230e-002,1.81457846049157e-001	1.90921383842475e-002,-3.62915692098314e-003
2.48648648648649e+005	4.82716575026460e-002,1.88553424238209e-001	1.90345668499471e-002,-3.77106848476418e-003
2.58558558558559e+005	5.12575766381353e-002,1.95597113189697e-001	1.89748484672373e-002,-3.91194226379395e-003
2.68468468468468e+005	5.43497240341290e-002,2.02587112456060e-001	1.89130055193174e-002,-4.05174224912121e-003
2.78378378378378e+005	5.75469509585873e-002,2.09521651066859e-001	1.88490609808283e-002,-4.19043302133719e-003
2.88288288288288e+005	6.08480750537530e-002,2.16398988312463e-001	1.87830384989249e-002,-4.32797976624926e-003
2.98198198198198e+005	6.42518813031786e-002,2.23217414492914e-001	1.87149623739364e-002,-4.46434828985828e-003
3.08108108108108e+005	6.77571230180061e-002,2.29975251631414e-001	1.86448575396399e-002,-4.59950503262828e-003
3.18018018018018e+005	7.13625228410694e-002,2.36670854151924e-001	1.85727495431786e-002,-4.73341708303849e-003
3.27927927927928e+005	7.50667737673822e-002,2.43302609520440e-001	1.84986645246524e-002,-4.86605219040881e-003
3.37837837837838e+005	7.88685401795670e-002,2.49868938849578e-001	1.84226291964087e-002,-4.99737877699156e-003
3.47747747747748e+005	8.27664588967772e-002,2.56368297466149e-001	1.83446708220645e-002,-5.12736594932297e-003
3.57657657657657e+005	8.67591402356666e-002,2.62799175441489e-001	1.82648171952867e-002,-5.25598350882977e-003
3.67567567567567e+005	9.08451690819613e-002,2.69160098084347e-001	1.81830966183608e-002,-5.38320196168693e-003
3.77477477477477e+005	9.50231059711958e-002,2.75449626396215e-001	1.80995378805761e-002,-5.50899252792430e-003
3.87387387387387e+005	9.92914881771859e-002,2.81666357489038e-001	1.80141702364563e-002,-5.63332714978076e-003
3.97297297297297e+005	1.03648830806819e-001,2.87808924965297e-001	1.79270233838636e-002,-5.75617849930593e-003
4.07207207207207e+005	1.08093627899761e-001,2.93875999260521e-001	1.78381274420048e-002,-5.87751998521043e-003
4.17117117117117e+005	1.12624353531697e-001,2.99866287948351e-001	1.77475129293661e-002,-5.99732575896703e-003
4.27027027027027e+005	1.17239462919732e-001,3.05778536008301e-001	1.76552107416054e-002,-6.11557072016602e-003
4.36936936936936e+005	1.21937393528618e-001,3.11611526056459e-001	1.75612521294276e-002,-6.23223052112918e-003
4.46846846846846e+005	1.26716566176486e-001,3.17364078539397e-001	1.74656686764703e-002,-6.34728157078793e-003
4.56756756756756e+005	1.31575386138785e-001,3.23035051891597e-001	1.73684922772243e-002,-6.46070103783195e-003
4.66666666666666e+005	1.36512244249177e-001,3.28623342656796e-001	1.72697551150165e-002,-6.57246685313593e-003
4.76576576576576e+005	1.41525517996143e-001,3.34127885573634e-001	1.71694896400771e-002,-6.68255771147267e-003
4.86486486486486e+005	1.46613572614115e-001,3.39547653626092e-001	1.70677285477177e-002,-6.79095307252185e-003
4.96396396396396e+005	1.51774762167956e-001,3.44881658059224e-001	1.69645047566409e-002,-6.89763316118448e-003
5.06306306306306e+005	1.57007430629670e-001,3.50128948360705e-001	1.68598513874066e-002,-7.00257896721410e-003
5.16216216216216e+005	1.62309912946248e-001,3.55288612208806e-001	1.67538017410750e-002,-7.10577224417612e-003
5.26126126126125e+005	1.67680536097602e-001,3.60359775387397e-001	1.66463892780480e-002,-7.20719550774795e-003
